year,scenario,region,mean
2048,ssp585,Global,0.32626957982069943
2049,ssp585,Global,0.40389763202466666
2050,ssp585,Global,0.21478336385710853
2051,ssp585,Global,0.35042111821369726
2052,ssp585,Global,0.4509892068444273
2053,ssp585,Global,0.4336238445349434
2054,ssp585,Global,0.5784134956981707
2055,ssp585,Global,0.6703447241225491
2056,ssp585,Global,0.44124137695590415
2057,ssp585,Global,0.5828085645223816
2058,ssp585,Global,0.6415160707137026
2059,ssp585,Global,0.7212891354709376
2060,ssp585,Global,0.60781966803231
2061,ssp585,Global,0.8227316838485169
2062,ssp585,Global,0.8770521059224644
2063,ssp585,Global,0.7545600475989978
2064,ssp585,Global,1.0701289450530045
2065,ssp585,Global,1.0130487057671027
2066,ssp585,Global,0.9576385666582621
2067,ssp585,Global,1.1122028131625514
2068,ssp585,Global,1.0038491643083063
2069,ssp585,Global,1.2473125945890484
2070,ssp585,Global,1.1911462511482638
2071,ssp585,Global,1.235297071908068
2072,ssp585,Global,1.1349270359427606
2073,ssp585,Global,1.2945656874622211
2074,ssp585,Global,1.4336574624545286
2075,ssp585,Global,1.382006712598823
2076,ssp585,Global,1.3257447976807324
2077,ssp585,Global,1.4458493478398193
2078,ssp585,Global,1.7142110915803805
2079,ssp585,Global,1.5717399713931932
2080,ssp585,Global,1.4796138743982055
2081,ssp585,Global,1.7546123749380718
2082,ssp585,Global,1.8725628036488347
2083,ssp585,Global,1.690291124495381
2084,ssp585,Global,1.8849530160676327
2085,ssp585,Global,1.9015835957247094
2086,ssp585,Global,1.9320993509945634
2087,ssp585,Global,1.8581134950691296
2088,ssp585,Global,1.9683635842391223
2089,ssp585,Global,2.329607334123292
2090,ssp585,Global,2.1480735159364897
2091,ssp585,Global,2.233667174121917
2092,ssp585,Global,2.259049631275828
2093,ssp585,Global,2.3194124774589735
2094,ssp585,Global,2.2636854313612687
2095,ssp585,Global,2.3844855275825045
2096,ssp585,Global,2.423068816971228
2097,ssp585,Global,2.209317543584013
2098,ssp585,Global,2.507927634309042
2099,ssp585,Global,2.7030117901350907
2100,ssp585,Global,2.5824205312803734
